,epochs,epsilon,clipping_mode,explanation_type,tpr_01_mean,tpr01_sd,tpr_001_mean,tpr_001_sd,auc_mean,auc_sd
0,30,0.0,nonDP,ixg,,,,,,
1,30,0.0,nonDP,sl,0.10122941176470589,0.02089561633469854,,,0.6090991605882354,0.01272756330967071
2,30,0.5,BK-MixOpt,ixg,0.009988874722389178,0.0018888975468807894,,,0.5009390107989767,0.004141291613795254
3,30,0.5,BK-MixOpt,sl,0.009141276692670763,0.0013385629908056957,,,0.5010512288292915,0.004834580653540801
4,30,1.0,BK-MixOpt,ixg,0.011995885414315071,0.003028325734641154,,,0.5047820388191603,0.0037825169827465028
5,30,1.0,BK-MixOpt,sl,0.010500901889917594,0.0025690895653219486,,,0.5046857836578336,0.003310405359158295
6,30,2.0,BK-MixOpt,ixg,0.013302628396811919,0.002383189487805891,,,0.5094067967126117,0.0030776398684621265
7,30,2.0,BK-MixOpt,sl,0.012337349176018503,0.0030902676362741174,,,0.5091319217767908,0.004026339835364764
8,30,8.0,BK-MixOpt,ixg,0.022720793222785793,0.00422156847302764,,,0.5270646385343295,0.003877494295519776
9,30,8.0,BK-MixOpt,sl,0.02200816350996886,0.004759444543299637,,,0.5246803985456655,0.003556428094007869
