,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,5,0.030042424242424242,0.010928639891616175,0.011175757575757577,0.002160671935754653,0.0016424242424242423,0.0010901849448409016,0.001306060606060606,0.0006508453216322153,0.5563873893939394,0.019981040889960784,0.5379264695454545,0.008982638466346449
1,ixg,10,0.09565757575757576,0.012917571549215792,0.011669696969696969,0.002255697815631642,0.012899999999999998,0.005663492872349317,0.0012515151515151517,0.0007105785999733798,0.6013161475757575,0.009746110154996901,0.5535188306060607,0.004576379418830285
2,ixg,30,0.11946666666666665,0.015183217742300248,0.0112,0.0020501293381224276,0.025166666666666667,0.008427648101650457,0.0012060606060606061,0.0006004742539528557,0.613316610909091,0.009293085530680752,0.5588387503030302,0.0054761055010316174
3,sl,5,0.030139393939393938,0.010385594317594936,0.010439393939393941,0.0021317142616440418,0.002106060606060606,0.0013742081783845658,0.0011878787878787879,0.0007099968313021804,0.5535174575757577,0.019961441878284275,0.537340588939394,0.009353989229630747
4,sl,10,0.08861515151515154,0.012364884815160822,0.010863636363636365,0.0021723912508009404,0.012684848484848485,0.004623662539597095,0.0013181818181818184,0.000740783592271395,0.598222349090909,0.010299169039518278,0.5538976881818182,0.004301610630961521
5,sl,30,0.10324545454545456,0.01708816870357597,0.011103030303030304,0.0022709609297687774,0.015396969696969697,0.00615942169897048,0.0011696969696969697,0.0005545868505827578,0.6081900227272728,0.010588740043369184,0.559322281060606,0.00496623292981128
6,ig,5,0.024045454545454543,0.008986120304487458,0.010672727272727273,0.0023876288132501375,0.003887878787878788,0.0020037476366469476,0.001190909090909091,0.0006364502105612158,0.5300487060606062,0.01469718447812265,0.5280743584848484,0.007852225194423171
7,ig,10,0.05348484848484848,0.00821337125675478,0.011036363636363638,0.002194872562300211,0.01262121212121212,0.004208559645334484,0.0012212121212121212,0.0007210083745815388,0.5675126081818183,0.010452668716158875,0.5405345748484848,0.004684138712818183
8,ig,30,0.05733939393939394,0.010318354913334733,0.010984848484848484,0.002197949624718623,0.003836363636363637,0.001973432355493339,0.001203030303030303,0.0006925949660230821,0.5776469084848486,0.010412881495000702,0.544484476969697,0.0045918470872283726
9,gs,5,0.011809090909090908,0.002880484348619973,0.01133030303030303,0.002795395006346325,0.0010333333333333334,0.0005255108145049122,0.0012606060606060604,0.0006457034660150702,0.5132137184848484,0.0072962546943712335,0.5249345515151516,0.00720262916374025
10,gs,10,0.020466666666666664,0.003767538113190553,0.011163636363636363,0.002479836038301626,0.003375757575757576,0.0012289513398731217,0.001215151515151515,0.0005909013208502354,0.5319699918181817,0.005734592984765687,0.5356713489393939,0.004492019873313335
11,gs,30,0.018090909090909095,0.0035201036173078803,0.011118181818181819,0.0019424218786918913,0.0012484848484848486,0.0007054425699285529,0.001593939393939394,0.0007364696269897494,0.5370987748484848,0.0055827737186033306,0.5404317518181818,0.004566655945850912
