,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.01529090909090909,0.003980738749495567,0.010912121212121212,0.001946209614634431,0.0024666666666666665,0.0011833866825362032,0.001215151515151515,0.000625285976814397,0.507851133030303,0.005974890538447817,0.5088162172727272,0.004392921071800783
1,ixg,15,0.017578787878787878,0.004794868315931711,0.010457575757575758,0.0017817305688622971,0.0037424242424242424,0.002066182294610962,0.0012272727272727272,0.0005945575014996713,0.5116693875757576,0.004652444491581022,0.5093618139393941,0.005413454218800567
2,ixg,30,0.022209090909090907,0.0047547337583662514,0.009893939393939394,0.0017174574925601935,0.006715151515151514,0.0029042415389283825,0.0012484848484848486,0.0007295167400497782,0.5157933009090909,0.005198237634746902,0.5094069183333334,0.005796689019817847
3,ixg,50,0.026748484848484848,0.003995916188956466,0.010557575757575757,0.0020358946068795886,0.00930909090909091,0.0020405530498644954,0.0011000000000000003,0.0006319762174274752,0.5182747354545454,0.00492248871575795,0.5108154321212122,0.004829805467780867
4,sl,9,0.01750606060606061,0.004665342196935689,0.010354545454545453,0.002088219614174906,0.003187878787878788,0.0015841559411603652,0.0012848484848484848,0.0007943441022634553,0.5084805081818181,0.006162962560104627,0.5090654095454545,0.004042970636816402
5,sl,15,0.019978787878787874,0.0046390148886183554,0.010987878787878788,0.001954909526815728,0.005024242424242424,0.002863779056890568,0.0012666666666666666,0.0006803148409584219,0.5120631551515151,0.004941333261709172,0.5097134027272728,0.00472359679483152
6,sl,30,0.02457878787878788,0.005540580736204332,0.01033030303030303,0.001714728505497758,0.008575757575757577,0.003700207226222345,0.0013545454545454544,0.0006932973078159133,0.5164875618181818,0.005401869143445231,0.5095427457575757,0.004941053799111297
7,sl,50,0.02960909090909091,0.0048454517027679425,0.010418181818181818,0.0016845923066633722,0.012081818181818183,0.0023046007404760494,0.0013454545454545453,0.0008403069096939159,0.5183549866666667,0.004766248136410902,0.5110040589393939,0.004271507458995145
8,ig,9,0.012793333333333334,0.003121424176379892,0.010846666666666668,0.002347017019301072,0.00197,0.00103122904019104,0.0012799999999999999,0.0007309354736682758,0.5066899563333335,0.004846142638144604,0.5057387326666666,0.004914796806496978
9,ig,15,0.014480645161290322,0.003557764734541557,0.010629032258064514,0.00269529979760312,0.0025451612903225804,0.0013637800195513085,0.0012903225806451613,0.0006821951469501762,0.5066463693548388,0.004149361348378688,0.5060967980645161,0.005115343460946472
10,ig,30,0.014874193548387097,0.0027381377874723875,0.01084516129032258,0.0022835793508010154,0.002925806451612903,0.0011962219402272128,0.0013322580645161294,0.0005287764920682422,0.5076966396774194,0.004133850222676092,0.5063041054838711,0.004775930657677863
11,ig,50,0.016974193548387095,0.002787757538160605,0.010658064516129034,0.00225828570345258,0.0036032258064516124,0.0012501571181172343,0.0013483870967741938,0.0007665889960505335,0.5077398903225806,0.0034895946419785965,0.5065113841935484,0.004883211172537205
12,gs,9,0.010687499999999999,0.00200526650348526,0.0106,0.0019921721813136533,0.001459375,0.0007668357773180643,0.0011625000000000001,0.000593058808213823,0.49890584593750004,0.004089783216546194,0.50501304546875,0.004736589146155079
13,gs,15,0.011527272727272728,0.002086503923454143,0.011036363636363636,0.0022229952741696767,0.0013454545454545455,0.0007340592450249582,0.0012090909090909092,0.0006607450507106107,0.5041840200000001,0.004044432154341656,0.505100264090909,0.004525578412351795
14,gs,30,0.010954545454545455,0.001916134193613246,0.010354545454545455,0.002275041246258254,0.0015575757575757576,0.000669703825551086,0.0011969696969696972,0.0006699094685488654,0.5019182660606061,0.0028603707927342095,0.5056452510606061,0.0040486708664506975
15,gs,50,0.01154848484848485,0.0026348619896146147,0.010906060606060608,0.0021424906766091675,0.0017333333333333333,0.000889217111119141,0.0012999999999999997,0.0008637479991644588,0.5024301875757575,0.003956363903938578,0.5057598187878787,0.005213787608252292
