,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.012548484848484847,0.0027995801862899733,0.011136363636363639,0.002196114776188357,0.0014363636363636362,0.0008380417946539284,0.0012454545454545455,0.0007274242266447014,0.506807096969697,0.005981885582296088,0.5088558693939393,0.004692640361738568
1,ixg,15,0.013575757575757576,0.0025455880195885804,0.011272727272727271,0.0021635090362330956,0.0018636363636363635,0.0008661367313915077,0.0012969696969696968,0.0005529451989312506,0.5082749812121212,0.004684415457297547,0.5093770057575757,0.005288295129841574
2,ixg,30,0.017145454545454544,0.003524037879366028,0.010496969696969697,0.0020055203886734127,0.0035454545454545456,0.00157597317872326,0.0013333333333333333,0.0007465746696571868,0.5129695030303031,0.0047422412590279635,0.5092655333333332,0.005674234269127997
3,ixg,50,0.022451515151515153,0.004008409433823392,0.010669696969696968,0.002078385860941253,0.006954545454545454,0.0018092507923867455,0.001227272727272727,0.0006340216645150071,0.5172922775757575,0.00496402231959675,0.5106085054545455,0.004772785326607923
4,sl,9,0.012854545454545455,0.00320180734085202,0.010903030303030302,0.002085227238323287,0.0013787878787878786,0.0006173047848744037,0.0011333333333333332,0.000740461226724822,0.507153716969697,0.006138091251914825,0.5087836721212121,0.004509505450324662
5,sl,15,0.01430909090909091,0.002983425287531262,0.010796969696969697,0.0020459101625000843,0.0017424242424242424,0.0008707469113667468,0.0012151515151515152,0.0007028604810565449,0.5089364181818182,0.005039560981844555,0.5095034337878789,0.0046159804664231505
6,sl,30,0.019496969696969697,0.004329216098716344,0.010266666666666667,0.0021793336021579965,0.004766666666666667,0.002084236168009855,0.0012303030303030301,0.0006497014925215707,0.5133935215151515,0.005070936151944483,0.5091564327272727,0.0047590232061000305
7,sl,50,0.02582424242424242,0.004083895221924129,0.01059090909090909,0.002097092306802609,0.007603030303030303,0.0020933494761708462,0.0014,0.0007036700328644919,0.5170388303030303,0.005093781156088084,0.5104683863636365,0.004276487900690994
8,ig,9,0.01235333333333333,0.0026146680265167295,0.010743333333333334,0.002027754642181566,0.00173,0.0010718053305832488,0.0011399999999999997,0.0006848844184726841,0.5045651699999999,0.0043672139458682995,0.5054310350000001,0.00491751216675922
9,ig,15,0.01345483870967742,0.00279813748073289,0.010951612903225806,0.0023927135314751897,0.0019516129032258066,0.0009273169648949026,0.0013483870967741934,0.0007670096806143239,0.5047936396774194,0.003972360450679073,0.5059408461290322,0.005109821827331061
10,ig,30,0.01308709677419355,0.0026054213869426157,0.01040322580645161,0.0024428280637432192,0.002216129032258065,0.0009909580812701149,0.0013935483870967744,0.0006642655337074113,0.5061448822580645,0.003941710806848203,0.506183189032258,0.004553402146235726
11,ig,50,0.014748387096774195,0.0024590676134615417,0.010880645161290323,0.0025504483293219454,0.002825806451612903,0.0009058831876328184,0.0013225806451612903,0.0009118254209743593,0.5074237938709677,0.00467281032051597,0.5064981209677419,0.004802392024907239
12,gs,9,0.010053125,0.0022200766280412484,0.010624999999999999,0.001669393602479655,0.0012031250000000002,0.0006277361980760708,0.001075,0.0005267826876426369,0.49926316718749997,0.004223727796815884,0.5048929531249999,0.00458421660482221
13,gs,15,0.011693939393939395,0.0022720887992062327,0.011345454545454544,0.0021570309152040465,0.0015030303030303027,0.0008259007382154085,0.001303030303030303,0.0007325690983997422,0.5022894024242424,0.004090775004777116,0.5050488981818181,0.004438739570380004
14,gs,30,0.010839393939393939,0.0024589896168387628,0.010275757575757575,0.00229373723139444,0.0015242424242424243,0.0010307485667693907,0.0010757575757575756,0.0005170020239279904,0.5009895393939394,0.004261320062758998,0.505702689090909,0.00396347637036058
15,gs,50,0.011624242424242424,0.0023080925225704534,0.010996969696969698,0.0021898505343329005,0.0013484848484848484,0.0007328322856297618,0.001190909090909091,0.0007472631423111602,0.5021291903030303,0.003309466042925298,0.5057431481818182,0.0052184434113365956
