,explanation_type,epochs,tpr_01_mean,tpr01_sd,tpr_01_simple_mean,tpr01_simple_sd,tpr_001_mean,tpr_001_sd,tpr_001_simple_mean,tpr_001_simple_sd,auc_mean,auc_sd,auc_simple_mean,auc_simple_sd
0,ixg,9,0.011887878787878788,0.002360117816237093,0.010696969696969696,0.002468895575498909,0.0013818181818181818,0.0007284082045094592,0.0011636363636363634,0.0006503230813932699,0.5057236072727272,0.005091104503676284,0.5094372377272728,0.005250007134796615
1,ixg,15,0.019403030303030304,0.004150391354200362,0.010406060606060606,0.0021973730037340104,0.0028363636363636364,0.0014582717421074856,0.0014393939393939393,0.0009001479319296405,0.5342331157575757,0.008466326822396507,0.5261671956060606,0.005456508743266069
2,ixg,30,0.03962424242424242,0.007580158721574422,0.01056060606060606,0.00241333911692837,0.006509090909090908,0.0027080534926415805,0.0015303030303030303,0.0008251665941933395,0.5682622487878788,0.01353604795280047,0.5402824384848485,0.005526250305071843
3,ixg,50,0.05696363636363637,0.02409941302166882,0.009906060606060607,0.0018813179445399753,0.012136363636363638,0.010269868199615102,0.001203030303030303,0.0009073721125298474,0.5863172303030303,0.018168956579551157,0.5447904978787879,0.008038641847658746
4,sl,9,0.011903030303030302,0.0027424259166243005,0.010057575757575758,0.0022288780032455116,0.001209090909090909,0.0008593033247094703,0.0011363636363636363,0.0005892050020453507,0.5062501754545454,0.004493885254462924,0.5112383642424242,0.0052547157747482596
5,sl,15,0.02316060606060606,0.005687463054502148,0.010242424242424242,0.0027798005490944195,0.003927272727272727,0.0014916480061008639,0.0012575757575757577,0.0006902043189060377,0.5340298103030303,0.008613417063023172,0.527342822878788,0.0056173659585899895
6,sl,30,0.04552727272727273,0.00904689039920993,0.010466666666666666,0.0018081744798262556,0.007633333333333334,0.002947280890323256,0.0010696969696969696,0.00065804340304713,0.5700559763636364,0.01412245056740933,0.5411445263636363,0.006048649649087131
7,sl,50,0.06684242424242426,0.025824630365544207,0.010272727272727272,0.002871518733128994,0.013854545454545454,0.011427295629301318,0.0012121212121212121,0.000764261408458609,0.5888059627272728,0.018113824597485603,0.5455868172727274,0.00790889625347487
8,ig,9,0.011536363636363636,0.0023328767754827464,0.010563636363636364,0.002270338138187347,0.0013363636363636364,0.0008569919846229538,0.001184848484848485,0.0006476630306614568,0.5024671778787879,0.003946922808856446,0.504605193030303,0.003854979698277313
9,ig,15,0.014687878787878788,0.0029059768686390468,0.010293939393939393,0.0023973393577728843,0.002090909090909091,0.001072059370914615,0.0013333333333333333,0.0008081653996127977,0.5162393403030303,0.006744291250452067,0.514108866060606,0.0042562365482707925
10,ig,30,0.020872727272727272,0.0040321640724849004,0.010942424242424243,0.0019534011214367842,0.003084848484848485,0.001415738636236953,0.0012666666666666668,0.0007264136340107939,0.5351980218181819,0.006336671180754828,0.5213562033333333,0.003832991458397668
11,ig,50,0.025954545454545452,0.0070806219085310755,0.01074848484848485,0.0022754448399087595,0.004618181818181817,0.002652894879121565,0.0012636363636363637,0.0006600358951754898,0.5412341854545455,0.009068900036530466,0.52325259,0.0050925110734328614
12,gs,9,0.011369696969696969,0.0028557740391561256,0.010136363636363636,0.00279434691039738,0.0013787878787878786,0.0006613840289820054,0.0011666666666666665,0.0007526384566740172,0.5010035203030303,0.003157463453280639,0.504330624090909,0.004525840574040471
13,gs,15,0.011787878787878788,0.0020683410972077427,0.010536363636363635,0.001732718687377376,0.0013363636363636364,0.00063380437753357,0.0012545454545454546,0.000656940064186897,0.5095215293939394,0.0050500448359815375,0.5133841890909091,0.00429327296491912
14,gs,30,0.015136363636363637,0.0026776084061825587,0.0098,0.002148149309183478,0.001827272727272727,0.0008031274955476765,0.0010939393939393938,0.0006540963667021596,0.5188948042424242,0.005779136991086605,0.5206995159090909,0.003954953502078402
15,gs,50,0.014963636363636365,0.003579979531160223,0.010299999999999998,0.002593932313782464,0.0024484848484848487,0.0013989435867329822,0.0013484848484848484,0.0008359792704843359,0.5205910181818182,0.006380768187877304,0.5228854351515151,0.005380563833285624
